row_id,concrete_concept,rfa,test_rfa
2134,trust_Internet,Will you tell me if you trust the Internet?,Will you tell me if you have confidence in the Internet?
2173,trust_media,Could you tell me if you trust the media?,
374,importance_family,Specify how important your family is to you.,
517,political_orientation,Specify if your political orientation is left.,
383,importance_friendship,Tell me how important your friendship is to you.,
3066,against_universal_coverage,Can you tell me whether you are against universal coverage?,
944,child_should_respect_elders,Specify if children should respect their elders.,
5364,protest_police_brutality,Do you think that you will protest against police brutality?,
4870,gov_economic_ineq,I ask you if the government should reduce economic inequality.,
5305,gov_income_ineq,Do you believe that the government should reduce income inequality?,
3215,women_should_children,Can you tell me whether women should have children?,
1240,housing_prices_will_increase,Please specify if housing prices will increase soon.,
687,education_reform,Specify whether the education reform has made your life better.,
545,sexual_orientation,Please tell me what your sexual orientation is.,
736,attached_to_country,Please tell me if you are attached to your country.,
116,for_freedom_movement,How much are you for freedom of movement?,
5281,women_should_home,Do you believe that women should stay home?,
863,against_universal_demogrant,Tell me how much you are against universal demogrant.,
2089,trust_parents,Would you tell me if you trust your parents?,
902,for_freedom_movement,Specify how much you are for freedom of movement.,
1226,participate_demonstration,Tell me if you will participate in the demonstration.,
5248,for_racial_equality,Do you believe that you are for racial equality?,
299,importance_success,Tell me how important personal success is to you.,
5165,trust_church,Do you agree or disagree that you trust the church?,
5004,food_prices_will_increase,I ask you if food prices will increase soon.,
35,importance_career,How important is your career to you?,
857,against_universal_coverage,Please tell me how much you are against universal coverage.,
59,sexual_orientation,What is your sexual orientation?,
5167,political_orientation,Do you believe that your political orientation is left?,
476,trust_president,Please specify how much you trust your president.,
814,for_ethnic_equality,Tell me if you are for ethnic equality.,
956,child_should_respect_peers,Please specify if children should respect their peers.,
2237,political_orientation,Could you please tell me what your political orientation is?,
509,trust_church,Please tell me how much you trust the church.,
845,against_universal_healthcare,Please tell me how much you are against universal healthcare.,
3064,against_universal_coverage,Will you tell me if you are against universal coverage?,
3224,women_should_children,Would you tell me if women should have children?,
108,against_universal_coverage,How much are you against universal coverage?,
866,against_universal_demogrant,Specify how much you are against universal demogrant.,
2060,trust_family,Would you tell me how much you trust your family?,
122,child_should_respect_peers,Should children respect their peers?,
985,gov_economic_ineq,Please tell me whether the government should reduce economic inequality.,
1850,importance_loyalty,Would you tell me how important loyalty is to you?,
398,importance_career,Specify how important your career is to you.,
1186,protest_police_brutality,Tell me if you will protest against police brutality.,
2268,ideological_orientation,Would you tell me whether your ideological orientation is liberal?,
331,importance_safety,Please specify if personal safety is important to you.,
4643,ideological_orientation,I ask you whatyour ideological orientation is.,
28,importance_loyalty,Is loyalty important to you?,
742,attached_to_nationality,Tell me if you are attached to your nationality.,
2982,for_ethnic_equality,Could you tell me whether you are for ethnic equality?,
367,importance_loyalty,Please specify if loyalty is important to you.,
2043,trust_family,Will you tell me whether you trust your family?,
4594,trust_pharmaceutical_industry,I ask you if you personally trust the pharmaceutical industry.,
4109,epidemic_will_end,Could you tell me whether the epidemic will end soon?,
20,importance_achievement,Is personal achievement important to you?,
2152,trust_Internet,Would you please tell me if you trust the Internet?,
342,importance_creativity,Please specify whether creativity is important to you.,
4601,trust_family,I ask you how much you trust your family.,
984,gov_economic_ineq,Specify if the government should reduce economic inequality.,
519,political_orientation,Please tell me whether your political orientation is left.,
942,child_should_respect_elders,Tell me if children should respect their elders.,
5238,close_to_children,Do you think that you are close to your children?,
760,attached_to_religion,Please tell me if you are attached to your religion.,
2165,trust_media,Will you tell me how much you trust the media?,
541,sexual_orientation,Specify if your sexual orientation is straight.,
922,women_should_mothers,Please tell me if women should become mothers.,
959,should_believe_God,Specify whether people should believe in God.,
4755,attached_to_religion,I ask you whether you are attached to your religion.,
3375,should_believe_oneself,Can you tell me whether people should believe in themselves?,
2103,trust_president,Will you tell me whether you trust your president?,
307,importance_success,Please specify if personal success is important to you.,
4631,trust_church,I ask you how much you trust the church.,
15,performance_leadership,How poor is the performance of the current leadership?,
328,importance_safety,Please tell me if personal safety is important to you.,
5235,attached_to_religion,Do you think that you are attached to your religion?,
484,trust_Internet,Please tell me if you trust the Internet.,
1199,protest_police_violence,Please specify whether you will protest against police violence.,
151,right_life,Has one the right to life in your country?,
4842,women_should_home,I ask you if women should stay home.,
853,against_universal_coverage,Specify if you are against universal coverage.,
4821,for_freedom_expression,I ask you whether you are for freedom of expression.,
2226,political_orientation,Can you tell me whether your political orientation is left?,
878,for_freedom_speech,Specify how much you are for freedom of speech.,
450,trust_family,Please specify whether you trust your family.,
4074,food_prices_will_increase,Would you tell me if food prices will increase soon?,
1179,petition_individual_racism,Specify whether you will sign a petition against individual racism.,
695,close_to_political_party,Tell me how close you are to a political party.,
354,importance_novelty,Please specify whether novelty is important to you.,
4845,child_should_respect_parents,I ask you whether children should respect their parents.,
958,should_believe_God,Tell me if people should believe in God.,
925,women_should_home,Tell me whether women should stay home.,
52,trust_church,Do you trust the church?,
326,importance_safety,Specify how important personal safety is to you.,
899,for_freedom_movement,Tell me how much you are for freedom of movement.,
3266,women_should_home,Would you please tell me if women should stay home?,
1849,importance_loyalty,Would you tell me if loyalty is important to you?,
3242,women_should_mothers,Could you please tell me if women should become mothers?,
3255,women_should_home,Can you tell me whether women should stay home?,
965,should_believe_Jesus,Tell me whether people should believe in Jesus.,
